Combination,Blue_Kills,Hostile_Kills,Patrol_Distance_km
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",39,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",37,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",52,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",38,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",12,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",64,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",70,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",66,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,1,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",10,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",51,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",54,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",45,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",52,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",42,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",51,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",70,2,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",44,1,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",13,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",51,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",2,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",44,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",84,2,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",49,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",64,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",5,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",46,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",18,1,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",47,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",47,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",59,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",54,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",31,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",20,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",56,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",70,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",29,1,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",36,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",38,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",24,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",23,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",10,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",80,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",51,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",18,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",61,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",32,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",64,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",32,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",54,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",55,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",41,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",38,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",63,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",34,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",67,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",10,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",37,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",90,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",65,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",68,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",17,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",48,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",13,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",45,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",70,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",21,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",84,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",20,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",36,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",54,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",54,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",80,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",69,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",23,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",20,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",16,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",54,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",20,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",56,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",27,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",31,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",27,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",27,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",50,1,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",80,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,6
"Basilone Ballistic Insert
+Krulak’s Three Block War",60,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",40,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",30,0,5
"Basilone Ballistic Insert
+Krulak’s Three Block War",52,0,5
